county,total,popestimate2014,market_per_capita
Deer Lodge,1,1023579,0
Beaver,2,12787209,0
Cabarrus,4,9943964,0
Pettis,1,6063589,0
East Baton Rouge,1,4649676,0
Solano,6,38802500,0
Niagara,4,19746227,0
Yakima,2,7061530,0
Wapello,2,3107126,0
Latah,4,1634464,0
Tulare,9,38802500,0
Sandoval,3,2085572,0
,6,4649676,0
Autauga,1,4849377,0
Jackson County,1,5757564,0
Placer,1,6596855,0
,6,4832482,0
Guernsey,1,11594163,0
Jackson,9,3970239,0
Sheboygan,3,5757564,0
Jefferson County,2,5355866,0
Geauga,1,11594163,0
Grayson,1,8326289,0
Codington,2,853175,0
Benton,4,2966369,0
Pottawatomie,2,3878051,0
Napa,4,38802500,0
Blue Earth,1,5457173,0
Brazos,1,26956958,0
Braxton County,1,1850326,0
Phelps,1,1881503,0
Nicholas,1,1850326,0
Perquimans,1,9943964,0
Mahaska,2,3107126,0
Jersey,1,12880580,0
Grant,1,739482,0
Perry,1,6549352,0
Orange,11,19746227,0
Weakley,1,6549352,0
Iron,1,9909877,0
Polk,1,1881503,0
Wasco,2,3970239,0
Washington,2,2904021,0
Story,4,3107126,0
Vermilion,1,12880580,0
Dewitt,1,26956958,0
Chesterfield,6,8326289,0
Wright,2,5457173,0
Fulton,12,10097343,0
Clarke,5,10097343,0
Kendall,2,26956958,0
Berkeley,1,4832482,0
Ravalli,4,1023579,0
Cass,2,739482,0
Union,1,4649676,0
Vernon,1,6063589,0
Gilmer,1,1850326,0
Price,3,5757564,0
Halifax,1,8326289,0
Allegany,4,19746227,0
Chautauqua,7,19746227,0
Beaufort,1,9943964,0
Carroll,1,3107126,0
Linn,3,3970239,0
Carroll,2,6063589,0
Will,7,12880580,0
Union,1,4832482,0
Jefferson,11,4849377,0
Stephenson,2,12880580,0
San Diego,12,38802500,0
Humboldt,1,2839099,0
Lane,14,3970239,0
Hancock,1,12880580,0
Oconee County,1,10097343,0
Kitsap,6,7061530,0
Bladen,1,9943964,0
,4,1850326,0
Dawes,1,1881503,0
Franklin,1,3107126,0
Meade,1,4413457,0
Mississippi,1,6063589,0
Sioux,1,739482,0
Chaffee,1,5355866,0
Muskegon,3,9909877,0
Rutherford,2,6549352,0
Bristol,4,1055173,0
Adams,1,6596855,0
Mason,1,1850326,0
Boone,3,2966369,0
Pierce,1,5757564,0
Spartanburg,3,4832482,0
Sullivan,2,6549352,0
Putnam,1,1850326,0
Peoria,2,12880580,0
Florence,1,4832482,0
Washington,1,4413457,0
Albany County,5,19746227,0
Northampton,4,12787209,0
Horry,3,4832482,0
Fayette,4,4413457,0
Calhoun,1,3107126,0
Clatsop,3,3970239,0
Erie,1,12787209,0
Richmond,1,9943964,0
Orange County,1,9943964,0
La Salle,5,12880580,0
Cherokee,1,4832482,0
Lincoln,1,4413457,0
Wayne,1,2942902,0
Bennington,4,626562,0
Clay,3,853175,0
Campbell,1,584153,0
Dunn,2,5757564,0
Pope,1,5457173,0
Westchester,19,19746227,0
Sibley,2,5457173,0
Mesa,1,5355866,0
McHenry,6,12880580,0
"Lewis ,Clark",1,1023579,0
Woodward,1,3878051,0
Genesee,1,19746227,0
Comanche,1,3878051,0
Gadsden,1,19893297,0
