fmid,latitude,longitude
1001337,39.5665,-97.661
1001851,35.137967,-97.659273
1002172,35.5121,-97.6325
1001336,39.8236,-97.6304
1006308,40.5265,-97.6028
1002252,46.6252,-97.6022
1005046,35.2563,-97.6008
1004658,40.871229,-97.595572
1008620,42.196189,-97.528241
1000196,41.0993,-97.5121
1007052,35.584,-97.5095
1007053,35.584,-97.5095
1006086,35.6541,-97.4797
1004706,42.0409,-97.4508
1005695,35.2329,-97.4373
1008008,42.018947,-97.431307
1003400,38.1281,-97.4299
20170,37.7232,-97.4262
1006734,42.032974,-97.416466
1005901,39.5912,-97.398
1000252,37.2673,-97.398
1004571,42.8699,-97.3938
1001619,41.4328,-97.3586
1005913,37.5638,-97.351098
1008057,37.68166,-97.346623
1002122,38.0438,-97.3447
1006092,36.2762,-97.3295
1003972,37.688,-97.3275
1007401,39.5684,-97.2925
1003393,36.79557,-97.28256
1001670,35.4888,-97.2739
1002734,37.5509,-97.27
1002251,37.6938191,-97.2621844
1003257,38.35331,-97.20056
1006669,40.1371,-97.1799
1004667,43.399295,-97.12502
1002565,44.9005,-97.1145
1001512,38.16422,-97.10646
1006848,40.9124,-97.0925
1001791,44.8901,-97.0887
1006352,36.115878,-97.072539
1008850,36.125196,-97.057869
1003187,39.8238,-97.0541
1006353,36.1294,-97.0508
1004870,42.233943,-97.0193
1000435,37.2471559,-96.9979989
1005145,35.3043,-96.9657
1000267,41.6128,-96.9639
1007008,40.481326,-96.960569
1000206,42.784898,-96.934918
1000205,42.786443,-96.934602
1000207,42.77928,-96.933998
1002005,35.3261,-96.9222
1005673,41.9838,-96.903
1001041,41.3103,-96.8084
1005482,44.311919,-96.800108
1002706,46.8744,-96.788
1006173,46.8719,-96.7834
1001743,35.98,-96.7727
1008874,40.264693,-96.744049
1007642,46.8782,-96.7421
1008092,40.877836,-96.728249
1002575,40.505384,-96.705019
1004429,40.805074,-96.7021989
1000833,40.811925,-96.698928
1000608,46.876886,-96.697755
1007270,40.5716,-96.6777
1005395,40.1219,-96.671
1001175,39.8416,-96.6492
1006624,40.756398,-96.647173
1002974,40.81245,-96.641897
1004574,41.208072,-96.622624
1004063,46.264988,-96.611235
1000715,41.2975,-96.6059
1006090,46.8716,-96.5773
1001801,42.8309,-96.5573
1004348,41.7309,-96.5051
1004400,43.0008,-96.488
1004379,44.506927,-96.425499
1004978,39.7033,-96.4167
1004380,44.465197,-96.246607
20204,43.6542,-96.2051
20262,41.2603,-96.1852
1004719,38.406767,-96.181233
1005990,41.25939,-96.17938
1001916,41.5437,-96.1296
1000950,41.2343,-96.0806
1007549,42.4888,-96.0738
1000517,39.8383,-96.0707
1004811,41.2377,-96.01395
1007425,41.285288,-96.008148
1007548,43.3399,-96.0019
1000505,36.15396,-95.99038
1002564,36.7465,-95.9768
1006635,36.104179,-95.975704
1007427,36.15217,-95.97561
1006636,36.140595,-95.972893
1008244,41.343356,-95.962322
1002916,41.259455,-95.961394
1004813,41.2800086,-95.9550521
1007045,36.1934,-95.9366
1004812,41.2544002,-95.9305583
1001027,41.2339,-95.93
1002630,36.1022,-95.9233
1007046,36.0728,-95.9194
1008816,45.589632,-95.911741
1008558,41.009624,-95.907823
1007552,38.0974,-95.8831
1002320,38.4156,-95.8638
