longitude,latitude
-87.54266,33.20742
-87.562787,33.216592
-87.4101,32.2319
-87.2658,33.8637
-88.2596,31.4649
-87.0229,31.9312
-87.3034,32.0051
-87.609541,34.231413
-86.5657,34.6467
-87.7036,34.7312
-86.478,34.6599
-149.905192,61.197271
-152.571,64.3172
-149.860532,61.119905
-149.865468,61.142479
-149.112,61.1505
-149.891,61.2195
-148.01,64.8459
-147.719593,64.844414
-147.7811,64.86275
-135.466,59.2331
-151.068,60.4928
-151.512567,59.638196
-151.266203,60.306929
-151.261,60.555
-149.440155,61.582613
-150.0381,61.73148
-149.114,61.5984
-149.116,61.602
-149.818,61.6303
-135.340944,57.050689
-149.868,61.1881
-150.234,62.3163
-149.096,64.5566
-145.476,62.1079
-146.348,61.1308
-149.9,61.2181
-151.058,60.4843
-158.458,59.0397
-109.603,34.4751
-109.550654,31.344218
-109.8797,31.41136
-111.6516567,35.1992473
-111.3262,34.23001
-109.719596,32.833846
-112.0737755,33.4566479
-112.321419,33.462255
-111.8415348,33.3034163
-111.743,33.3079
-112.823174,33.436831
-111.924934,33.491778
-111.726,33.3219
-111.983133,33.331186
-111.855,33.6283
-112.006152,33.597356
-112.262,33.5317
-112.03767,33.507818
-111.89,33.6734
-111.927,33.5278
-112.333,33.7367
-112.014112,33.387593
-112.12314,33.849663
-111.8311,33.420535
-111.653956,33.352989
-111.729,33.4152
-112.491,33.3488
-111.9349065,33.418338
-111.7912702,33.3545334
-111.921721,33.824397
-112.187018,33.661496
-111.892551,33.582474
-110.973,32.2239
-111.212487,32.45092
-110.723407,32.128192
-110.929,32.2207
-110.8162594,32.2151975
-110.9691,32.16326
-111.055,31.6228
-110.976,31.9561
-110.98571,32.219926
-110.892,32.261
-110.925317,32.18858
-110.972,32.2235
-110.943296,32.285815
-110.925,32.499
-111.319,31.591
-110.799,32.2579
-110.789,32.6181
-110.656,31.6844
-110.939547,31.335533
-110.543,31.659
-112.252,34.4864
-111.791,34.8502
-112.453338,34.546105
-111.9179,34.71824
-112.027,34.7456
-114.594,32.6854
-110.756,31.5383
-111.91,33.3355
